tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-1970,1970,Belgium,3,1,2,0,4,5,-1,0,0.3333333333333333,1.3333333333333333,1.6666666666666667,T-06,BEL,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,3,0.0,0.0,-2.3333333333333335,0.3333333333333333,2.6666666666666665,4,6,0,2
WC-1982,1982,Belgium,5,2,2,1,3,5,-2,0,0.4,0.6,1.0,T-06,BEL,Europe,UEFA,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,6,1.5,0.5,0.0,1.3333333333333333,1.3333333333333333,5,9,1,2
WC-1986,1986,Belgium,7,3,3,1,12,15,-3,4,0.42857142857142855,1.7142857142857142,2.142857142857143,T-06,BEL,Europe,UEFA,0,4.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,6,1.1666666666666667,0.3333333333333333,-0.5,0.8333333333333334,1.3333333333333333,6,14,3,2
WC-1990,1990,Belgium,4,2,2,0,6,4,2,1,0.5,1.5,1.0,T-06,BEL,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,10,1.7,0.4,0.9,1.7,0.8,7,21,6,4
WC-1994,1994,Belgium,4,2,2,0,4,4,0,1,0.5,1.0,1.0,T-06,BEL,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,5,1.4,0.4,0.2,1.2,1.0,8,25,8,4
WC-1998,1998,Belgium,3,0,0,3,3,3,0,0,0.0,1.0,1.0,T-06,BEL,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,11,1.7272727272727273,0.45454545454545453,0.36363636363636365,1.3636363636363635,1.0,9,29,10,4
WC-2002,2002,Belgium,4,1,1,2,6,7,-1,1,0.25,1.5,1.75,T-06,BEL,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,12,2.1666666666666665,0.6666666666666666,0.6666666666666666,1.4166666666666667,0.75,10,32,10,4
WC-2014,2014,Belgium,5,4,1,0,6,3,3,2,0.8,1.2,0.6,T-06,BEL,Europe,UEFA,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,10,1.8,0.5,0.7,1.7,1.0,11,36,11,4
WC-2018,2018,Belgium,7,6,1,0,16,6,10,4,0.8571428571428571,2.2857142857142856,0.8571428571428571,T-06,BEL,Europe,UEFA,0,3.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,10,2.6,0.8,2.6,3.4,0.8,12,41,15,4
WC-2022,2022,Belgium,3,1,1,1,1,2,-1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,T-06,BEL,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,9,1.5555555555555556,0.4444444444444444,0.5555555555555556,1.8888888888888888,1.3333333333333333,13,48,21,4
WC-1930,1930,Bolivia,2,0,2,0,0,8,-8,0,0.0,0.0,4.0,T-07,BOL,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,0,,,,,,0,0,0,4
WC-1950,1950,Bolivia,1,0,1,0,0,8,-8,0,0.0,0.0,8.0,T-07,BOL,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,2,1.5,0.5,-1.5,1.0,2.5,1,2,0,1
WC-1994,1994,Bolivia,3,0,2,1,1,4,-3,0,0.0,0.3333333333333333,1.3333333333333333,T-07,BOL,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,24,1.25,0.2916666666666667,0.125,1.25,1.125,2,3,0,1
WC-2014,2014,Bosnia & Herzegovina,3,1,2,0,4,4,0,0,0.3333333333333333,1.3333333333333333,1.3333333333333333,T-08,BIH,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,9,1.6666666666666667,0.5555555555555556,0.1111111111111111,1.4444444444444444,1.3333333333333333,0,0,0,1
WC-1930,1930,Brazil,2,1,1,0,5,2,3,0,0.5,2.5,1.0,T-09,BRA,South America,CONMEBOL,0,,group stage,1,1,Group stage,0,0,0,0,0,,,,,,0,0,0,1
