year,tournament_id,team_name,confederation_code,is_host,matches,wins,losses,draws,goals_for,goals_against,goal_difference,win_rate,goals_for_per_match,goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,performance,stage_reached,stage_score,champion,finalist,semifinalist,reached_knockout
2022,WC-2022,Brazil,CONMEBOL,0,5,3,2,0,8,3,5,0.6,1.6,0.6,21,109,76,8,2.75,0.875,3.0,quarter-finals,Quarter-finals,3,0,0,0,1
2022,WC-2022,Cameroon,CAF,0,3,1,1,1,4,4,0,0.3333333333333333,1.3333333333333333,1.3333333333333333,7,23,4,14,1.6428571428571428,0.42857142857142855,0.35714285714285715,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Canada,CONCACAF,0,3,0,3,0,2,7,-5,0.0,0.6666666666666666,2.3333333333333335,1,3,0,12,1.8333333333333333,0.5833333333333334,1.0,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Costa Rica,CONCACAF,0,3,1,2,0,3,11,-8,0.3333333333333333,1.0,3.6666666666666665,5,18,6,12,2.4166666666666665,0.75,0.8333333333333334,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Croatia,UEFA,0,7,4,1,2,8,7,1,0.5714285714285714,1.1428571428571428,1.0,5,23,13,9,2.2222222222222223,0.6666666666666666,0.4444444444444444,third-place match,Semi-finals/top four,4,0,0,1,1
2022,WC-2022,Denmark,UEFA,0,3,0,2,1,1,3,-2,0.0,0.3333333333333333,1.0,5,20,9,8,1.875,0.625,0.625,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Ecuador,CONMEBOL,0,3,1,1,1,4,3,1,0.3333333333333333,1.3333333333333333,1.0,3,10,4,11,1.2727272727272727,0.18181818181818182,0.0,group stage,Group stage,1,0,0,0,0
2022,WC-2022,England,UEFA,0,5,3,1,1,13,4,9,0.6,2.6,0.8,15,69,30,8,1.125,0.25,-0.25,quarter-finals,Quarter-finals,3,0,0,0,1
2022,WC-2022,France,UEFA,0,7,5,2,0,16,8,8,0.7142857142857143,2.2857142857142856,1.1428571428571428,15,66,36,8,1.375,0.375,0.5,final,Final,5,0,1,1,1
2022,WC-2022,Germany,UEFA,0,3,1,1,1,6,5,1,0.3333333333333333,2.0,1.6666666666666667,9,47,32,9,1.5555555555555556,0.3333333333333333,0.5555555555555556,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Ghana,CAF,0,3,1,2,0,5,7,-2,0.3333333333333333,1.6666666666666667,2.3333333333333335,3,12,4,13,1.0769230769230769,0.23076923076923078,-0.38461538461538464,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Iran,AFC,0,3,1,2,0,4,7,-3,0.3333333333333333,1.3333333333333333,2.3333333333333335,5,15,2,9,1.7777777777777777,0.5555555555555556,0.1111111111111111,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Japan,AFC,0,4,2,2,0,5,4,1,0.5,1.25,1.0,6,21,5,14,1.9285714285714286,0.5714285714285714,1.2857142857142858,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Mexico,CONCACAF,0,3,1,1,1,2,3,-1,0.3333333333333333,0.6666666666666666,1.0,16,57,16,18,1.6666666666666667,0.4444444444444444,0.4444444444444444,group stage,Group stage,1,0,0,0,0
2022,WC-2022,Morocco,CAF,0,7,4,2,1,6,5,1,0.5714285714285714,0.8571428571428571,0.7142857142857143,5,16,2,17,2.176470588235294,0.6470588235294118,1.1764705882352942,third-place match,Semi-finals/top four,4,0,0,1,1
2022,WC-2022,Netherlands,UEFA,0,5,3,1,1,10,4,6,0.6,2.0,0.8,10,50,28,8,2.5,0.75,1.25,quarter-finals,Quarter-finals,3,0,0,0,1
2022,WC-2022,Poland,UEFA,0,4,1,2,1,3,5,-2,0.25,0.75,1.25,8,34,16,9,1.5555555555555556,0.4444444444444444,-0.3333333333333333,round of 16,Round of 16 / second group,2,0,0,0,1
