key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,year
58,WC-1950,1950 FIFA Men's World Cup,M-1950-05,Sweden vs Italy,group stage,Group 3,1,0,0,0,1950-06-25,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-74,Sweden,SWE,T-41,Italy,ITA,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
59,WC-1950,1950 FIFA Men's World Cup,M-1950-06,Brazil vs Switzerland,group stage,Group 1,1,0,0,0,1950-06-28,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-09,Brazil,BRA,T-75,Switzerland,CHE,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,1950
60,WC-1950,1950 FIFA Men's World Cup,M-1950-07,Yugoslavia vs Mexico,group stage,Group 1,1,0,0,0,1950-06-28,15:00,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,T-87,Yugoslavia,YUG,T-46,Mexico,MEX,4–1,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0,1950
61,WC-1950,1950 FIFA Men's World Cup,M-1950-08,Spain vs Chile,group stage,Group 2,1,0,0,0,1950-06-29,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-73,Spain,ESP,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
62,WC-1950,1950 FIFA Men's World Cup,M-1950-09,United States vs England,group stage,Group 2,1,0,0,0,1950-06-29,15:00,S-007,Estádio Independência,Belo Horizonte,Brazil,T-83,United States,USA,T-28,England,ENG,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
63,WC-1950,1950 FIFA Men's World Cup,M-1950-10,Sweden vs Paraguay,group stage,Group 3,1,0,0,0,1950-06-29,15:30,S-012,Estádio Vila Capanema,Curitiba,Brazil,T-74,Sweden,SWE,T-55,Paraguay,PRY,2–2,2,2,0,0,0,0,0-0,0,0,draw,0,0,1,1950
64,WC-1950,1950 FIFA Men's World Cup,M-1950-11,Brazil vs Yugoslavia,group stage,Group 1,1,0,0,0,1950-07-01,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-09,Brazil,BRA,T-87,Yugoslavia,YUG,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
65,WC-1950,1950 FIFA Men's World Cup,M-1950-12,Chile vs United States,group stage,Group 2,1,0,0,0,1950-07-02,15:00,S-019,Estádio Ilha do Retiro,Recife,Brazil,T-13,Chile,CHL,T-83,United States,USA,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0,1950
66,WC-1950,1950 FIFA Men's World Cup,M-1950-13,Spain vs England,group stage,Group 2,1,0,0,0,1950-07-02,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-73,Spain,ESP,T-28,England,ENG,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1950
67,WC-1950,1950 FIFA Men's World Cup,M-1950-14,Italy vs Paraguay,group stage,Group 3,1,0,0,0,1950-07-02,15:00,S-023,Estádio do Pacaembu,São Paulo,Brazil,T-41,Italy,ITA,T-55,Paraguay,PRY,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
