tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1974,1974,Australia,7,1.5714285714285714,0.42857142857142855,0.2857142857142857,1.2857142857142858,1.0
WC-1974,1974,Brazil,15,2.2666666666666666,0.6666666666666666,0.9333333333333333,1.4,0.4666666666666667
WC-1974,1974,Bulgaria,13,1.5384615384615385,0.46153846153846156,0.7692307692307693,1.9230769230769231,1.1538461538461537
WC-1974,1974,Chile,10,2.0,0.6,0.8,1.8,1.0
WC-1974,1974,East Germany,0,,,,,
WC-1974,1974,Haiti,16,1.625,0.5,0.1875,1.125,0.9375
WC-1974,1974,Italy,6,2.3333333333333335,0.6666666666666666,1.1666666666666667,1.1666666666666667,0.0
WC-1974,1974,Netherlands,8,2.0,0.5,2.0,2.625,0.625
WC-1974,1974,Poland,15,2.0,0.6,1.0,1.6666666666666667,0.6666666666666666
WC-1974,1974,Scotland,11,1.1818181818181819,0.36363636363636365,0.0,1.0,1.0
WC-1974,1974,Sweden,12,1.8333333333333333,0.5,0.25,1.1666666666666667,0.9166666666666666
WC-1974,1974,Uruguay,11,2.090909090909091,0.6363636363636364,1.0,1.6363636363636365,0.6363636363636364
WC-1974,1974,West Germany,0,,,,,
WC-1974,1974,Yugoslavia,7,1.2857142857142858,0.2857142857142857,0.14285714285714285,1.4285714285714286,1.2857142857142858
WC-1974,1974,DR Congo,12,2.3333333333333335,0.75,1.3333333333333333,2.25,0.9166666666666666
WC-1978,1978,Argentina,14,1.9285714285714286,0.5714285714285714,0.5714285714285714,1.5,0.9285714285714286
WC-1978,1978,Austria,9,1.4444444444444444,0.3333333333333333,0.1111111111111111,0.7777777777777778,0.6666666666666666
WC-1978,1978,Brazil,13,2.0,0.5384615384615384,1.3846153846153846,1.8461538461538463,0.46153846153846156
WC-1978,1978,France,9,2.111111111111111,0.5555555555555556,0.8888888888888888,1.5555555555555556,0.6666666666666666
WC-1978,1978,Hungary,7,2.2857142857142856,0.7142857142857143,1.2857142857142858,2.857142857142857,1.5714285714285714
WC-1978,1978,Iran,17,1.588235294117647,0.4117647058823529,0.4117647058823529,1.1176470588235294,0.7058823529411765
WC-1978,1978,Italy,9,1.5555555555555556,0.4444444444444444,0.8888888888888888,1.8888888888888888,1.0
WC-1978,1978,Mexico,11,2.272727272727273,0.7272727272727273,1.8181818181818181,2.8181818181818183,1.0
WC-1978,1978,Netherlands,7,2.7142857142857144,0.8571428571428571,1.5714285714285714,1.8571428571428572,0.2857142857142857
WC-1978,1978,Peru,9,1.1111111111111112,0.3333333333333333,-0.2222222222222222,1.3333333333333333,1.5555555555555556
WC-1978,1978,Poland,12,2.0833333333333335,0.6666666666666666,0.8333333333333334,2.25,1.4166666666666667
WC-1978,1978,Scotland,12,1.75,0.5,0.5833333333333334,1.5833333333333333,1.0
WC-1978,1978,Spain,7,2.7142857142857144,0.8571428571428571,1.4285714285714286,1.7142857142857142,0.2857142857142857
WC-1978,1978,Sweden,11,1.4545454545454546,0.45454545454545453,-0.09090909090909091,1.0,1.0909090909090908
WC-1978,1978,Tunisia,15,1.4,0.4,0.13333333333333333,1.4,1.2666666666666666
WC-1978,1978,West Germany,0,,,,,
WC-1982,1982,Algeria,12,2.0,0.5833333333333334,1.0,1.75,0.75
WC-1982,1982,Argentina,7,1.4285714285714286,0.2857142857142857,0.14285714285714285,1.0,0.8571428571428571
WC-1982,1982,Austria,7,2.0,0.5714285714285714,0.7142857142857143,1.7142857142857142,1.0
WC-1982,1982,Belgium,6,1.5,0.5,0.0,1.3333333333333333,1.3333333333333333
WC-1982,1982,Brazil,9,2.3333333333333335,0.6666666666666666,1.7777777777777777,2.2222222222222223,0.4444444444444444
WC-1982,1982,Cameroon,12,1.75,0.4166666666666667,0.6666666666666666,1.4166666666666667,0.75
WC-1982,1982,Chile,9,2.0,0.5555555555555556,0.7777777777777778,1.2222222222222223,0.4444444444444444
WC-1982,1982,Czechoslovakia,10,1.1,0.2,-0.1,1.0,1.1
WC-1982,1982,El Salvador,9,1.7777777777777777,0.4444444444444444,0.6666666666666666,1.1111111111111112,0.4444444444444444
WC-1982,1982,England,8,2.375,0.75,1.375,1.875,0.5
